Year,Tag,Dominant_Topic,Unnamed: 0
2001,lyrics,0,14
2001,lyrics,1,16
2001,lyrics,2,5
2001,lyrics,4,5
2001,lyrics,5,11
2001,lyrics,6,21
2001,lyrics,7,17
2001,lyrics,8,8
2001,news,0,1
2001,news,1,1
2001,news,3,50
2001,news,6,1
2001,news,9,44
2002,lyrics,0,10
2002,lyrics,1,24
2002,lyrics,2,4
2002,lyrics,4,7
2002,lyrics,5,12
2002,lyrics,6,14
2002,lyrics,7,17
2002,lyrics,8,11
2002,news,3,58
2002,news,9,41
2003,lyrics,0,15
2003,lyrics,1,13
2003,lyrics,2,9
2003,lyrics,4,8
2003,lyrics,5,11
2003,lyrics,6,13
2003,lyrics,7,22
2003,lyrics,8,6
2003,news,3,55
2003,news,9,42
2004,lyrics,0,21
2004,lyrics,1,15
2004,lyrics,2,9
2004,lyrics,4,6
2004,lyrics,5,12
2004,lyrics,6,12
2004,lyrics,7,13
2004,lyrics,8,9
2004,lyrics,9,1
2004,news,2,1
2004,news,3,47
2004,news,9,50
2005,lyrics,0,20
2005,lyrics,1,17
2005,lyrics,2,7
2005,lyrics,3,1
2005,lyrics,4,6
2005,lyrics,5,12
2005,lyrics,6,12
2005,lyrics,7,14
2005,lyrics,8,9
2005,news,3,66
2005,news,9,32
2006,lyrics,0,20
2006,lyrics,1,14
2006,lyrics,2,7
2006,lyrics,3,1
2006,lyrics,4,11
2006,lyrics,5,10
2006,lyrics,6,12
2006,lyrics,7,14
2006,lyrics,8,7
2006,news,3,55
2006,news,4,4
2006,news,9,37
2007,lyrics,0,16
2007,lyrics,1,14
2007,lyrics,2,8
2007,lyrics,4,9
2007,lyrics,5,16
2007,lyrics,6,15
2007,lyrics,7,11
2007,lyrics,8,6
2007,news,1,1
2007,news,3,46
2007,news,4,1
2007,news,9,47
2008,lyrics,0,13
2008,lyrics,1,15
2008,lyrics,2,12
2008,lyrics,4,8
2008,lyrics,5,9
2008,lyrics,6,22
2008,lyrics,7,11
2008,lyrics,8,6
2008,lyrics,9,1
2008,news,3,36
2008,news,9,61
2009,lyrics,0,5
2009,lyrics,1,15
2009,lyrics,2,9
2009,lyrics,4,8
2009,lyrics,5,11
2009,lyrics,6,20
2009,lyrics,7,14
2009,lyrics,8,15
2009,news,0,1
2009,news,1,1
2009,news,2,2
2009,news,3,53
2009,news,4,1
2009,news,6,2
2009,news,9,37
2010,lyrics,0,13
2010,lyrics,1,13
2010,lyrics,2,14
2010,lyrics,3,1
2010,lyrics,4,8
2010,lyrics,5,9
2010,lyrics,6,12
2010,lyrics,7,19
2010,lyrics,8,9
2010,lyrics,9,1
2010,news,0,2
2010,news,1,1
2010,news,2,2
2010,news,3,49
2010,news,4,3
2010,news,8,1
2010,news,9,41
2011,lyrics,0,11
2011,lyrics,1,9
2011,lyrics,2,13
2011,lyrics,4,9
2011,lyrics,5,10
2011,lyrics,6,13
2011,lyrics,7,15
2011,lyrics,8,20
2011,news,1,3
2011,news,2,1
2011,news,3,51
2011,news,4,1
2011,news,6,6
2011,news,9,38
2012,lyrics,0,6
2012,lyrics,1,17
2012,lyrics,2,16
2012,lyrics,4,8
2012,lyrics,5,10
2012,lyrics,6,11
2012,lyrics,7,18
2012,lyrics,8,12
2012,news,1,2
2012,news,3,42
2012,news,5,2
2012,news,7,1
2012,news,8,1
2012,news,9,50
2013,lyrics,0,6
2013,lyrics,1,12
2013,lyrics,2,17
2013,lyrics,3,1
2013,lyrics,4,11
2013,lyrics,5,8
2013,lyrics,6,14
2013,lyrics,7,19
2013,lyrics,8,10
2013,news,3,26
2013,news,6,1
2013,news,9,71
2014,lyrics,0,14
2014,lyrics,1,22
2014,lyrics,2,13
2014,lyrics,4,8
2014,lyrics,5,11
2014,lyrics,6,8
2014,lyrics,7,12
2014,lyrics,8,11
2014,news,3,18
2014,news,9,81
2015,lyrics,0,13
2015,lyrics,1,9
2015,lyrics,2,13
2015,lyrics,4,5
2015,lyrics,5,14
2015,lyrics,6,15
2015,lyrics,7,17
2015,lyrics,8,12
2015,news,3,35
2015,news,9,63